left_out_color,sample_id,R_measured,G_measured,B_measured,L_corrected,a_corrected,b_corrected,L_ground_truth,a_ground_truth,b_ground_truth,delta_E,is_accurate
1,1,97,73,63,41.24866424218088,13.43940572916009,11.133655813844289,38.03876054813183,11.926687710060364,13.080158687298871,4.04730416039438,False
1,1,98,74,64,41.007079000619285,13.636923329937357,11.033302949592857,38.03876054813183,11.926687710060364,13.080158687298871,3.9906689566855302,False
1,1,94,75,68,42.58870958359919,11.965377953760775,8.137789101433759,38.03876054813183,11.926687710060364,13.080158687298871,6.717927528902973,False
1,1,97,80,73,44.47767526568019,11.396254798824131,9.747951351471226,38.03876054813183,11.926687710060364,13.080158687298871,7.269428281655096,False
1,1,102,84,79,46.16769065432641,11.717928382802672,8.645395544830793,38.03876054813183,11.926687710060364,13.080158687298871,9.262300430125713,False
1,1,100,75,63,42.12760621629199,13.42359590772864,12.890646346404893,38.03876054813183,11.926687710060364,13.080158687298871,4.358360698431196,False
1,1,98,74,64,41.26081727341919,13.23386435571224,11.520649932136658,38.03876054813183,11.926687710060364,13.080158687298871,3.8108303401404253,False
1,1,97,73,63,40.233094820084,14.060640232219798,10.614809042559935,38.03876054813183,11.926687710060364,13.080158687298871,3.930242376076677,False
1,1,97,73,63,42.17499829510023,12.53525970078252,11.32802028468623,38.03876054813183,11.926687710060364,13.080158687298871,4.533079698091322,False
1,1,98,74,66,39.31691298047654,14.667928337041785,10.85134820540933,38.03876054813183,11.926687710060364,13.080158687298871,3.757082642091183,False
1,1,86,58,46,41.16964562447079,15.429721043292659,13.100369632027576,38.03876054813183,11.926687710060364,13.080158687298871,4.698307394931219,False
1,1,89,61,48,40.89020432350947,15.566687752593843,13.642541282793504,38.03876054813183,11.926687710060364,13.080158687298871,4.657961581797224,False
1,1,84,60,48,40.91255452787284,11.971018540083058,13.15174314633102,38.03876054813183,11.926687710060364,13.080158687298871,2.8750271990471834,False
1,1,92,68,56,44.3891612398132,11.966448348919387,12.488135568267131,38.03876054813183,11.926687710060364,13.080158687298871,6.378060929998844,False
1,1,97,77,65,48.31766336346171,9.646636367248682,11.04007511191368,38.03876054813183,11.926687710060364,13.080158687298871,10.724570770311058,False
1,1,83,58,46,38.49619054344705,14.349333298027913,12.347498541268406,38.03876054813183,11.926687710060364,13.080158687298871,2.5720118069507563,False
1,1,88,62,49,40.4222809008143,14.598404337387073,13.090512912896852,38.03876054813183,11.926687710060364,13.080158687298871,3.580411459367945,False
1,1,86,62,50,42.3707195855171,11.799240380127186,13.003974701129534,38.03876054813183,11.926687710060364,13.080158687298871,4.3345029614985435,False
1,1,84,60,50,41.49605790785946,13.358237518697793,11.581961672108818,38.03876054813183,11.926687710060364,13.080158687298871,4.030736183938842,False
1,1,85,61,51,41.64294994559768,13.439268789931054,11.488226311015744,38.03876054813183,11.926687710060364,13.080158687298871,4.2204657831389225,False
2,2,143,110,95,64.59817352474465,14.19754049058577,15.458824723616324,69.64880492592266,13.032038208673768,16.488008901967554,5.284552317148154,False
2,2,148,116,103,66.25442901524549,13.80760238348062,14.195256379917073,69.64880492592266,13.032038208673768,16.488008901967554,4.168932925773469,False
2,2,142,117,112,66.0099383702048,14.292241709111094,8.352548518744701,69.64880492592266,13.032038208673768,16.488008901967554,9.000843200490998,False
